RA_J2000,DEC_J2000,sep
126.354301,20.221598,2.0
127.745537,18.694736,2.0
128.186714,18.03616,2.0
129.45468,17.25502,2.0
129.90435,17.788853,2.0
131.359619,19.784449,2.0
132.136301,16.939907,2.0
132.361513,18.522108,2.0
132.204711,20.224222,2.0
128.285247,20.443684,2.0
132.061519,22.558996,2.0
130.047752,20.067583,2.0
128.461577,19.782969,2.0
129.047649,19.877872,2.0
129.064724,20.686056,2.0
129.066275,20.120268,2.0
129.203994,19.316486,2.0
129.302545,20.544838,2.0
129.332957,19.053329,2.0
129.350803,19.417004,2.0
129.368564,20.607946,2.0
129.385116,19.521685,2.0
129.396051,20.224049,2.0
129.457608,19.514118,2.0
129.605728,18.941669,2.0
129.615537,19.765469,2.0
129.683059,19.29398,2.0
129.901894,19.485531,2.0
129.944037,19.217806,2.0
129.963698,20.580547,2.0
130.082612,18.927305,2.0
130.09238,18.123583,2.0
130.117638,18.935839,2.0
130.157888,20.338303,2.0
130.224274,19.378904,2.0
130.272173,20.47348,2.0
130.293834,18.268627,2.0
130.351928,20.130444,2.0
130.350747,18.234079,2.0
130.432871,19.302284,2.0
130.497296,19.745892,2.0
130.633583,18.59116,2.0
130.707022,18.859756,2.0
130.772026,19.465176,2.0
130.854225,20.565353,2.0
130.897339,19.003941,2.0
130.936425,21.209547,2.0
130.936402,19.066336,2.0
130.961909,20.365768,2.0
131.235162,18.371424,2.0
131.542086,19.528849,2.0
131.894528,19.138311,2.0
129.059546,19.425087,2.0
129.810559,20.021996,2.0
129.904826,19.816132,2.0
