RA_J2000,DEC_J2000,sep,name
126.354301,20.221598,2.0,AD 0738
127.745537,18.694736,2.0,AD 1427
128.186714,18.03616,2.0,AD 1660
129.45468,17.25502,2.0,AD 2354
129.90435,17.788853,2.0,AD 2595
131.359619,19.784449,2.0,AD 3411
132.136301,16.939907,2.0,AD 3663
132.361513,18.522108,2.0,EPIC211885995
132.204711,20.224222,2.0,EPIC211998192
128.285247,20.443684,2.0,EPIC212011416
132.061519,22.558996,2.0,EPIC212127087
130.047752,20.067583,2.0,HSHJ300
128.461577,19.782969,2.0,JS 46
129.047649,19.877872,2.0,JS113
129.064724,20.686056,2.0,JS117
129.066275,20.120268,2.0,JS119
129.203994,19.316486,2.0,JS148
129.302545,20.544838,2.0,JS169
129.332957,19.053329,2.0,JS174
129.350803,19.417004,2.0,JS178
129.368564,20.607946,2.0,JS181
129.385116,19.521685,2.0,JS187
129.396051,20.224049,2.0,JS191
129.457608,19.514118,2.0,JS200
129.605728,18.941669,2.0,JS230
129.615537,19.765469,2.0,JS232
129.683059,19.29398,2.0,JS246
129.901894,19.485531,2.0,JS301
129.944037,19.217806,2.0,JS317
129.963698,20.580547,2.0,JS318
130.082612,18.927305,2.0,JS352
130.09238,18.123583,2.0,JS355
130.117638,18.935839,2.0,JS364
130.157888,20.338303,2.0,JS373
130.224274,19.378904,2.0,JS394
130.272173,20.47348,2.0,JS405
130.293834,18.268627,2.0,JS415
130.351928,20.130444,2.0,JS430
130.350747,18.234079,2.0,JS432
130.432871,19.302284,2.0,JS452
130.497296,19.745892,2.0,JS468
130.633583,18.59116,2.0,JS488
130.707022,18.859756,2.0,JS505
130.772026,19.465176,2.0,JS513
130.854225,20.565353,2.0,JS533
130.897339,19.003941,2.0,JS541
130.936425,21.209547,2.0,JS545
130.936402,19.066336,2.0,JS550
130.961909,20.365768,2.0,JS552
131.235162,18.371424,2.0,JS582
131.542086,19.528849,2.0,JS620
131.894528,19.138311,2.0,JS649
129.059546,19.425087,2.0,JS689
129.810559,20.021996,2.0,KW564
129.904826,19.816132,2.0,KW569
