name,simbad_index,desig_gaia_dr2,desig_2mass,pm_index
AD 0738,51,Gaia DR2 663805754152866688,2MASS J08252503+2013177,92
AD 1427,49,Gaia DR2 662665629314342272,2MASS J08305892+1841410,187
AD 1660,22,Gaia DR2 659571844111412224,2MASS J08324481+1802101,229
AD 2354,41,Gaia DR2 659228074929597440,2MASS J08374912+1715180,569
AD 2595,12,Gaia DR2 659373141744409984,2MASS J08393704+1747198,777
AD 3411,17,Gaia DR2 661170637096984960,2MASS J08452630+1947040,1351
AD 3663,48,Gaia DR2 658276035297795328,2MASS J08483271+1656236,1474
EPIC211885995,1,Gaia DR2 660210522927784576,2MASS J08492676+1831195,1496
EPIC211998192,33,Gaia DR2 661573608108602752,2MASS J08484913+2013271,1479
EPIC212011416,34,Gaia DR2 663131856604384384,2MASS J08330845+2026372,250
EPIC212127087,24,Gaia DR2 689130461877120256,2MASS J08481476+2233323,1465
HSHJ300,27,Gaia DR2 661325255921404288,2MASS J08401146+2004032,856
HSHJ510,6,Gaia DR2 662003860752394880,2MASS J08491651+2135121,1492
JS 46,18,Gaia DR2 662861136225126016,2MASS J08335077+1946586,292
JS113,19,Gaia DR2 664352245791631488,2MASS J08361143+1952403,415
JS117,50,Gaia DR2 664605270904832768,2MASS J08361553+2041098,421
JS119,30,Gaia DR2 664366024046570112,2MASS J08361590+2007129,422
JS148,36,Gaia DR2 659774394768991744,2MASS J08364895+1918593,471
JS169,2,Gaia DR2 664417494934591488,2MASS J08371261+2032414,509
JS174,25,Gaia DR2 659749861915865216,2MASS J08371990+1903119,515
JS178,46,Gaia DR2 659777074828577024,2MASS J08372419+1925012,521
JS181,4,Gaia DR2 664419556518886272,2MASS J08372845+2036286,534
JS187,26,Gaia DR2 664281396011231744,2MASS J08373242+1931180,542
JS191,40,Gaia DR2 664388357876585344,2MASS J08373505+2013265,548
JS200,31,Gaia DR2 661279042073291776,2MASS J08374982+1930508,572
JS230,16,Gaia DR2 659696982278606080,2MASS J08382537+1856300,633
JS232,32,Gaia DR2 664292322407994624,2MASS J08382772+1945556,636
JS246,38,Gaia DR2 661260144217277568,2MASS J08384393+1917383,667
JS301,42,Gaia DR2 661270486498500352,2MASS J08393645+1929079,776
JS317,7,Gaia DR2 661209566682500736,2MASS J08394656+1913041,797
JS318,10,Gaia DR2 664453778817920256,2MASS J08395128+2034499,807
JS352,8,Gaia DR2 661186373859208832,2MASS J08401982+1855382,877
JS355,55,Gaia DR2 659388947224025856,2MASS J08402217+1807248,882
JS364,21,Gaia DR2 661185755383916160,2MASS J08402823+1856090,897
JS373,43,Gaia DR2 664429005446645376,2MASS J08403789+2020178,914
JS394,13,Gaia DR2 661238635021126656,2MASS J08405382+1922440,942
JS405,44,Gaia DR2 664437320503310336,2MASS J08410532+2028245,973
JS415,39,Gaia DR2 659415129344636544,2MASS J08411052+1816070,989
JS430,14,Gaia DR2 661417305659127296,2MASS J08412446+2007495,1020
JS432,5,Gaia DR2 659411796450014464,2MASS J08412417+1814026,1019
JS452,15,Gaia DR2 661222073627319296,2MASS J08414388+1918082,1071
JS468,52,Gaia DR2 661347727189029504,2MASS J08415935+1944452,1101
JS488,28,Gaia DR2 660928259206807808,2MASS J08423205+1835281,1142
JS505,23,Gaia DR2 660986297100929792,2MASS J08424968+1851351,1169
JS513,47,Gaia DR2 661231625634645504,2MASS J08430528+1927546,1190
JS533,45,Gaia DR2 661460083533415040,2MASS J08432501+2033552,1228
JS541,29,Gaia DR2 661011929465731456,2MASS J08433536+1900141,1240
JS545,0,Gaia DR2 664873173784204160,2MASS J08434474+2112343,1253
JS550,37,Gaia DR2 661018835773136512,2MASS J08434473+1903588,1252
JS552,9,Gaia DR2 661441494914973184,2MASS J08435085+2021567,1260
JS582,11,Gaia DR2 660158674082552320,2MASS J08445643+1822171,1315
JS620,54,Gaia DR2 661150124333238656,2MASS J08461010+1931438,1385
JS649,53,Gaia DR2 660328239391298176,2MASS J08473468+1908179,1439
JS689,35,Gaia DR2 662776439470251136,2MASS J08361429+1925303,419
KW564,20,Gaia DR2 664320497393421952,2MASS J08391453+2001191,723
KW569,3,Gaia DR2 661314570042801280,2MASS J08393715+1948580,778
